,cars,demands,labels,locations,megacluster,streetName,streetSide,clusterID
2191,1.111111111,0.166666667,B447114,"[446379.176, 4644062.204]",0,N BROADWAY ST,W,13
2192,1.444444444,0.111111111,B447115,"[446322.5268, 4644201.319]",0,N BROADWAY ST,E,13
2193,4.055555556,0.5,B447117,"[446246.3052, 4644381.105]",0,N BROADWAY ST,E,13
2194,4.29787234,0.914893617,B448101,"[446116.5024, 4644557.949]",0,W GRACE ST,S,13
2195,2.78125,0.59375,B448103,"[446129.4854, 4644851.449]",0,N BROADWAY ST,E,13
2196,4.210526316,1.078947368,B448104,"[446066.921, 4644982.609]",0,N BROADWAY ST,E,13
2197,2.176470588,0.470588235,B448105,"[446049.482, 4645006.944]",0,N BROADWAY ST,W,13
2198,0.878787879,0.181818182,B448106,"[445892.8513, 4644935.64]",0,W IRVING PARK RD,N,13
2199,3.0,0.676470588,B448108,"[445837.4876, 4644929.957]",0,W IRVING PARK RD,S,13
2200,0.451612903,0.064516129,B448110,"[446005.3451, 4644927.217]",0,W IRVING PARK RD,S,13
2201,1.777777778,0.305555556,B448111,"[446105.7075, 4644886.998]",0,N BROADWAY ST,W,13
2202,1.057142857,0.142857143,B448112,"[446146.2541, 4644801.793]",0,N BROADWAY ST,W,13
2203,4.138888889,0.972222222,B448113,"[446119.3452, 4644728.595]",0,W SHERIDAN RD,S,13
2204,3.41025641,0.717948718,B448114,"[446154.0107, 4644594.991]",0,N BROADWAY ST,W,13
2205,0.457142857,0.057142857,B448118,"[446121.871, 4644737.268]",0,W SHERIDAN RD,N,13
2206,8.449275362,0.68115942,B449201,"[447050.4572, 4641365.107]",0,N CLARK ST,E,2
2207,9.112903226,0.806451613,B449202,"[447045.5387, 4641369.187]",0,N CLARK ST,W,2
2208,2.307692308,0.384615385,B450101,"[444806.746, 4645805.737]",0,N CLARK ST,E,19
2209,5.357142857,0.571428571,B450103,"[444767.9844, 4646046.846]",0,N CLARK ST,E,4
2210,5.545454545,1.272727273,B450105,"[444738.9472, 4646263.84]",0,N CLARK ST,E,4
2211,1.688888889,0.288888889,B450107,"[444732.627, 4646237.131]",0,N CLARK ST,W,4
2212,2.377777778,0.444444444,B450109,"[444770.5307, 4646004.938]",0,N CLARK ST,W,4
2213,0.431818182,0.181818182,B450111,"[444787.5069, 4645878.169]",0,N CLARK ST,W,4
2214,3.48,1.04,B451101,"[444469.056, 4645731.438]",0,W MONTROSE AVE,N,19
2215,4.703703704,0.814814815,B451102,"[444015.6963, 4645725.892]",0,W MONTROSE AVE,N,19
2216,2.0,0.526315789,B451103,"[443984.9006, 4645745.328]",0,N WOLCOTT AVE,E,19
2217,2.875,0.583333333,B451104,"[443910.8328, 4645721.829]",0,W MONTROSE AVE,N,19
2218,4.52173913,0.739130435,B451105,"[443801.7953, 4645720.864]",0,W MONTROSE AVE,N,19
2219,0.722222222,0.055555556,B451106,"[443739.8341, 4645756.928]",0,N DAMEN AVE,E,19
2220,1.277777778,0.055555556,B451107,"[443731.0452, 4645683.491]",0,N DAMEN AVE,W,19
